,Código,Nome,Repac./  Venc.,Índice/ Correção,Taxa de Compra,Taxa de Venda,Taxa Indicativa,Desvio Padrão,Intervalo Indicativo Minimo,Intervalo Indicativo Máximo,PU,% PU Par / % VNE,Duration,% Reune,Referência NTN-B
973,POTE11,POTENGI HOLDINGS S.A. (*),15/12/2041,"IPCA + 7,3706%","7,6805","7,2786","7,4935","0,0673","7,4261","7,5609","1079,987835","99,2548","1644,55",5.0,15/05/2033
974,POTE12,POTENGI HOLDINGS S.A. (*),15/10/2042,"IPCA + 7,0416%","7,7832","7,3861","7,604","0,0378","7,5662","7,6418","97,184559","96,9654","1465,85",35.0,15/08/2032
975,PPTE11,PORTO PRIMAVERA TRANSMISSORA DE ENERGIA S.A.,15/02/2029,"IPCA + 4,45%","7,9438","7,4359","7,6706","0,0481","7,6226","7,7188","773,985675","93,7439","531,85",,15/05/2027
976,PRAS11,PIRAPORA SOLAR HOLDING S.A. (*) (**),15/08/2034,"IPCA + 5,7656%","7,722","7,4483","7,6025","0,1375","7,4651","7,7401","987,074518","92,8837","1065,82",35.0,15/08/2030
977,PRPO12,PIRAPORA II SOLAR HOLDING S.A. (*),15/12/2031,"IPCA + 4,22%","8,1513","7,8641","7,9487","0,0529","7,8959","8,0017","989,146161","89,2405","800,9",35.0,15/05/2029
978,PRSS11,PAX INVESTIMENTOS EM AEROPORTOS S.A (*),15/02/2040,"IPCA + 8,6141%","8,0391","7,7377","7,8745","0,0662","7,8083","7,9407","1123,360617","105,1824","1875,97",,15/05/2035
979,PRTE12,PARANAIBA TRANSMISSORA DE ENERGIA S.A.,15/03/2028,"IPCA + 6,9045%","8,3165","7,9257","8,1529","0,1244","8,0285","8,2775","479,604591","98,2875","374,12",,15/05/2027
980,PTAZ11,PARINTINS AMAZONAS TRANSMISSORA DE ENERGIA S.A. (*),15/04/2046,"IPCA + 5,6904%","7,4159","7,21","7,3691","0,0255","7,3436","7,3948","1119,99503","86,7112","2204,73",,15/08/2040
981,QUAT13,ACUCAREIRA QUATA S/A (*),15/07/2034,"IPCA + 7,8722%","8,3479","8,0617","8,163","0,0498","8,1132","8,2129","1146,366808","98,9683","968,62",35.0,15/08/2030
982,RAIZ13,RAIZEN S.A. (*),15/09/2034,"IPCA + 6,4879%","8,527","8,0651","8,2843","0,061","8,2233","8,3454","935,428861","89,1353","1714,87",35.0,15/05/2035
